Building,Category,Value
Houston House,Student Housing,136557
Raney House,Student Housing,125474
Curl Hall,Student Housing,25653
Blackburn House,Student Housing,132162
Scott House,Student Housing,169311
North Recreation Center,Student Activity,28834
Nosker House,Student Housing,106857
Mathematics Tower,Academic,61621
Central Service Building,Facilities,15136
Smith-Steeb Hall,Student Housing,262198
Siebert Hall,Student Housing,85839
"Cunz, Dieter, Hall",Academic,68100
"Arps, George F, Hall",Academic,129371
Torres House,Student Housing,127073
Mathematics Building,Academic,28893
Recreation and Physical Activity Center,Student Housing,279848
McCorkle Aquatic Pavilion,Athletics,127491
"Denney, Joseph Villiers, Hall",Academic,103770
University Hall,Academic,77845
"Weigel, Eugene J, Hall",Academic,47042
"Eighteenth Ave, 209 W",Academic,25034
Orton Hall,Academic/Administration,41022
